,loopid,fromaddress,toaddress,tokenid,ethprice,date,transhash
0,BOREDAPE11,0xca3be8fcc0bb1e966aad0fb5705ba11b517bd219,0xea39c551834d07ee2ee87f1ceff843c308e089af,7392,116.0,2021-09-01,0x2004f8f4dacbbc5d8ac82fd51691c02fd7cc34e1252c01cfac8a7fa49b09c57d
1,BOREDAPE11,0xea39c551834d07ee2ee87f1ceff843c308e089af,0xca3be8fcc0bb1e966aad0fb5705ba11b517bd219,50,90.0,2021-09-01,0x42a94d027d1aab964e7c016d14c22753d0fe6a1b4917db581d8e1c73ae8319e6
2,BOREDAPE16,0x7260f7927a25949c15b7c4cbcf936510bf34c81b,0xc34f37006cb57957b5296e9d7cd4f71958ec0b8f,5862,54.2069,2021-08-28,0x1f4b48754ed0dad156a81d523749a114796d81c0c5f94720d40e442995857f4b
3,BOREDAPE16,0xc34f37006cb57957b5296e9d7cd4f71958ec0b8f,0x7260f7927a25949c15b7c4cbcf936510bf34c81b,5862,59.98,2021-08-31,0xa67cf79a29a6bdf1d5553f0fd7d0728e1075c9823411300872f54231d51c5058
4,BOREDAPE17,0x9e106a248e45ca60b06d4307170e7659e7aa8066,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,6388,6.0,2021-05-01,0xfd1369b94f54350eedd3be5052ef2488f6e0957ca770eadda61f2c82af4a6a91
5,BOREDAPE17,0x72d633dcd7b0a48d9633eef2aa6aaa300b39b8a3,0x9e106a248e45ca60b06d4307170e7659e7aa8066,9981,0.38,2021-05-02,0xe2ca1f5064d534752e29838e7cc2d8f98210cbedcc374aa478d57bce8147029c
6,BOREDAPE17,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0x72d633dcd7b0a48d9633eef2aa6aaa300b39b8a3,4751,0.15,2021-05-01,0xb688726444f0aa9bcc87092692ee44f1cb62b3e485bd071963866ce659551519
7,BOREDAPE18,0x5d8e2c078d8851dd295eada3622ab90e605652b1,0xd61063bbf284043d84959ed03a7ebd30424d8fba,5441,0.15,2021-05-01,0xe8ff4a6a2f0471cd7b3ad036135041a613412472e751bfd08689ad6926fd368b
8,BOREDAPE18,0xd61063bbf284043d84959ed03a7ebd30424d8fba,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,5555,6.69,2021-05-02,0xd12923c1cf72b12ff846120639b2a090499cbaf16a31d767234e1a97420b3f8c
9,BOREDAPE18,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0x5d8e2c078d8851dd295eada3622ab90e605652b1,3833,0.15,2021-05-01,0xcd66500861e184fe86141e4fd3a4945028e23740a5a776a5bc80fc475429145d
10,BOREDAPE19,0x5d8e2c078d8851dd295eada3622ab90e605652b1,0xd61063bbf284043d84959ed03a7ebd30424d8fba,5441,0.15,2021-05-01,0xe8ff4a6a2f0471cd7b3ad036135041a613412472e751bfd08689ad6926fd368b
11,BOREDAPE19,0xd61063bbf284043d84959ed03a7ebd30424d8fba,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,5555,6.69,2021-05-02,0xd12923c1cf72b12ff846120639b2a090499cbaf16a31d767234e1a97420b3f8c
12,BOREDAPE19,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,0x5d8e2c078d8851dd295eada3622ab90e605652b1,4752,0.15,2021-05-01,0xbc8a80161a39bc97409fb7a10945c85f94217c414813ca5f516320dc4219a08a
13,BOREDAPE20,0xc7daff430efad15679f8bb53530debee0308eb1b,0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99,3315,5.2,2021-07-15,0x709f41e44bdc40a642758d14f95e8109a8a98647342df0a53d09d0a8cca902c3
14,BOREDAPE20,0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99,0xc3b24d8b1b27bb5f231fc4b266bdd22a80536f69,5332,6.5432,2021-07-16,0x9ae6be8cd9b2ce50823d99a3c9f9622364f5ff0f3ffda7e6c27e2d1463e24b0e
16,BOREDAPE22,0xc3b24d8b1b27bb5f231fc4b266bdd22a80536f69,0xc7daff430efad15679f8bb53530debee0308eb1b,5898,0.0042,2021-07-09,0xd46805ffab709b8b0af414c664ce6cc594f4eabbcda41cc665fda7aeaf04a043
15,BOREDAPE22,0xc7daff430efad15679f8bb53530debee0308eb1b,0xc3b24d8b1b27bb5f231fc4b266bdd22a80536f69,8286,0.0042,2021-07-09,0x23fe28ac193f2b80e3f82e346378f07800d780b49626ee9a71c893cf683e352c
17,BOREDAPE26,0x4d93c788b6e9771f1ee2f30242cd3892b631d8ed,0x402e183628df0d1a7db90034d1f42b95b811a802,349,2.19,2021-06-10,0x89d8c924930e5455110d7e122fb7cf80d67e1ca5ac1a9281e630bae2b6122ff9
18,BOREDAPE26,0x402e183628df0d1a7db90034d1f42b95b811a802,0x4d93c788b6e9771f1ee2f30242cd3892b631d8ed,4098,1.58,2021-06-10,0x465a6ee71af00cf9dee60e51383f3d0919bf87246d596f3092fb3956999a655a
19,BOREDAPE27,0x23ffa72d19450516322c8875fce660d80f732b4c,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,361,2.85,2021-06-13,0x0274335564ceebcb32013cf0cbf01a0e07c9e5f8a9ad68797faac8fcfc3e5213
20,BOREDAPE27,0xec36697c3c8c8e385b37e17df40dbcbe2dbd9ffc,0x23ffa72d19450516322c8875fce660d80f732b4c,3520,1.7,2021-06-16,0x2cb63e5bee2d59022f2e06f9f515ad6830a89c22dca3634d1454b521c99a2fa4
21,BOREDAPE27,0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xec36697c3c8c8e385b37e17df40dbcbe2dbd9ffc,3520,1.6418583217,2021-06-09,0x4136ce6b7831589827081cd275afa39c63a8fcfeec7495e84ee1527241d75224
22,BOREDAPE42,0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99,0xc124a73088c871c13d03554da0a11a9c11a651a1,1603,8.7654,2021-06-20,0xc80396b4fe92c48f9e32759425a32d6e388fb6856fc2dfe051350177cb68e26d
23,BOREDAPE42,0xc124a73088c871c13d03554da0a11a9c11a651a1,0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99,8439,5.9,2021-06-20,0x8a0bee9e346649c5946ab7ba9bd48c5d544af09fdbfbcf747682fb9381a6be6e
24,BOREDAPE45,0x34a3adc8ccff21a9a66ddcf2c3eddad989deec97,0xd3fc6fec4b219c2d74b366fee6b585df71611533,2321,5.6145,2021-07-27,0x8caa2110be55823bce85b96f05d098fad1bd1e9a10f4ec9b87b608e22afc2695
25,BOREDAPE45,0xd3fc6fec4b219c2d74b366fee6b585df71611533,0x34a3adc8ccff21a9a66ddcf2c3eddad989deec97,299,6.9,2021-07-27,0xce34f6cdb4eb5428f7a0e08f29308c990fa479affa3c5a619b92530264265c84
26,BOREDAPE57,0x7d88aa989068e65190031a13c809e27fcb3aca52,0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,1213,0.85,2021-05-31,0xfb763ce140a98401e67406e51205a434a904589396d2f06cd247bed8093f060d
27,BOREDAPE57,0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,0x7d88aa989068e65190031a13c809e27fcb3aca52,2470,2.5,2021-06-01,0x9bc899f2423426489a3dfcc93d527a7a49cc7f2c851275b16d7cbb248ac01947
28,BOREDAPE59,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,0x5f91fceda14ad95c9676cf65548b6f189bf3a1a9,4715,8.0,2021-06-19,0xacc1cfbc20808a2452b300ae6c2fb18f7ac95a5adfafc3ca3a4d7ff9aaeead60
29,BOREDAPE59,0x5f91fceda14ad95c9676cf65548b6f189bf3a1a9,0x7d88aa989068e65190031a13c809e27fcb3aca52,7260,7.77,2021-06-20,0x0a34e19277b0ebcd6cb346bd7a1c5a2043fec8c53fc41b75c034cfcdb897a3d6
31,BOREDAPE68,0x2bcba14f244928b2f9d78a5727dcc109b541e39f,0x09b3ed5392df96c5691a5c3e793acb4dc47d089e,6877,0.75,2021-05-31,0x6921a79754e6938546f45214b82f01651bae7f2ef9af48453cb1f54c6c0fd9e0
30,BOREDAPE68,0x09b3ed5392df96c5691a5c3e793acb4dc47d089e,0xddcb8c0913745aea91bef234c0dd96bdc1127a80,7412,0.9,2021-06-03,0x33f26af9e34c02c1277254920e963fb70beb3bb79558931b94a008a45ae70660
32,BOREDAPE68,0xddcb8c0913745aea91bef234c0dd96bdc1127a80,0x2bcba14f244928b2f9d78a5727dcc109b541e39f,7412,1.089,2021-06-05,0x598cb17ac4fad98f9c6d8fc0b6a2d60deb6216e1a4f7e2b450792e216b76fa77
