,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
3316,13137429,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,116.0,0xca3be8fcc0bb1e966aad0fb5705ba11b517bd219,2021-09-01,0xea39c551834d07ee2ee87f1ceff843c308e089af,7392,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/7392,0x2004f8f4dacbbc5d8ac82fd51691c02fd7cc34e1252c01cfac8a7fa49b09c57d,1.0,1.0,BOREDAPE11,boredape
6825,13137414,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,90.0,0xea39c551834d07ee2ee87f1ceff843c308e089af,2021-09-01,0xca3be8fcc0bb1e966aad0fb5705ba11b517bd219,50,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/50,0x42a94d027d1aab964e7c016d14c22753d0fe6a1b4917db581d8e1c73ae8319e6,2.0,2.0,BOREDAPE11,boredape
3246,13113869,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,54.2069,0x7260f7927a25949c15b7c4cbcf936510bf34c81b,2021-08-28,0xc34f37006cb57957b5296e9d7cd4f71958ec0b8f,5862,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/5862,0x1f4b48754ed0dad156a81d523749a114796d81c0c5f94720d40e442995857f4b,1.0,1.0,BOREDAPE16,boredape
17001,13135101,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,59.98,0xc34f37006cb57957b5296e9d7cd4f71958ec0b8f,2021-08-31,0x7260f7927a25949c15b7c4cbcf936510bf34c81b,5862,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/5862,0xa67cf79a29a6bdf1d5553f0fd7d0728e1075c9823411300872f54231d51c5058,4.0,4.0,BOREDAPE16,boredape
25708,12349650,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6.0,0x9e106a248e45ca60b06d4307170e7659e7aa8066,2021-05-01,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,6388,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/6388,0xfd1369b94f54350eedd3be5052ef2488f6e0957ca770eadda61f2c82af4a6a91,3.0,3.0,BOREDAPE17,boredape
23073,12355659,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0.38,0x72d633dcd7b0a48d9633eef2aa6aaa300b39b8a3,2021-05-02,0x9e106a248e45ca60b06d4307170e7659e7aa8066,9981,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9981,0xe2ca1f5064d534752e29838e7cc2d8f98210cbedcc374aa478d57bce8147029c,6.0,6.0,BOREDAPE17,boredape
18623,12349628,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0.15,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,2021-05-01,0x72d633dcd7b0a48d9633eef2aa6aaa300b39b8a3,4751,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/4751,0xb688726444f0aa9bcc87092692ee44f1cb62b3e485bd071963866ce659551519,10.0,10.0,BOREDAPE17,boredape
23659,12347331,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0.15,0x5d8e2c078d8851dd295eada3622ab90e605652b1,2021-05-01,0xd61063bbf284043d84959ed03a7ebd30424d8fba,5441,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/5441,0xe8ff4a6a2f0471cd7b3ad036135041a613412472e751bfd08689ad6926fd368b,5.0,5.0,BOREDAPE18,boredape
21295,12355037,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6.69,0xd61063bbf284043d84959ed03a7ebd30424d8fba,2021-05-02,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,5555,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/5555,0xd12923c1cf72b12ff846120639b2a090499cbaf16a31d767234e1a97420b3f8c,3.0,3.0,BOREDAPE18,boredape
20902,12349481,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0.15,0x29b1b2d083456fd07b19649f8b85f9927a29b1ab,2021-05-01,0x5d8e2c078d8851dd295eada3622ab90e605652b1,3833,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/3833,0xcd66500861e184fe86141e4fd3a4945028e23740a5a776a5bc80fc475429145d,4.0,4.0,BOREDAPE18,boredape
