,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
3885,12842052,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,1.8,0x5d9049fccf5ae287ca2472713bb7fc6325dc7876,2021-07-17,0x7768a6fa6f9812f3aa91a9f827e5948f7e0b5486,3972,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/3972,0x2f076a4b3013564c20f5b50f0abac00b2ec9c2cab4075a5d1204ae20c80f9f39,1.0,1.0,BOREDAPEKENNEL11,boredapekennel
8508,12845178,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,2.111,0x7768a6fa6f9812f3aa91a9f827e5948f7e0b5486,2021-07-17,0x5d9049fccf5ae287ca2472713bb7fc6325dc7876,3972,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/3972,0x668bb3dd545d28988a9fd4e183b2dde4bc761d706bc4b2c4ef9258ba89629258,3.0,3.0,BOREDAPEKENNEL11,boredapekennel
11777,13114528,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,4.9,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,2021-08-28,0x81b3893a8f3557712705e83d2ab877710044d74d,1724,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/1724,0x8d55dc584354c36097003620a31d0e4a1860f330275ba0caaf0563e3d1f2a19d,8.0,8.0,BOREDAPEKENNEL13,boredapekennel
15349,13118463,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,3.9,0x81b3893a8f3557712705e83d2ab877710044d74d,2021-08-29,0x6507db73d6ade38af8467eb5ab445f224cedaf38,1724,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/1724,0xb8d79dccde460a3a443b93352bf9626e56b743d090c47e1d2a83fb79eff50876,11.0,11.0,BOREDAPEKENNEL13,boredapekennel
15177,13124882,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,4.45,0x6507db73d6ade38af8467eb5ab445f224cedaf38,2021-08-30,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,1724,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/1724,0xb691fb9428c8e2d9932f6f9970100301e3d4ae0c0fee0a24145048524b7d9f8f,10.0,10.0,BOREDAPEKENNEL13,boredapekennel
20049,12807147,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,1.0,0xa85f0bd039bd6ca4708b72150e29c68642cc3635,2021-07-11,0x54b174179ae825ed630da40b625bb3c883cd40ae,8770,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/8770,0xf33ca572c69988c2f6232ce679cbbe48559e1cdb86eb6d4fd6d592b66e786c46,7.0,7.0,BOREDAPEKENNEL18,boredapekennel
15041,12822156,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,1.2,0x54b174179ae825ed630da40b625bb3c883cd40ae,2021-07-14,0xa85f0bd039bd6ca4708b72150e29c68642cc3635,1571,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/1571,0xb4ca04f14a4b09ba711a7982e4d195b589ff6bf7d73393946d10090350277244,4.0,4.0,BOREDAPEKENNEL18,boredapekennel
3483,14112234,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,10.5,0x54b174179ae825ed630da40b625bb3c883cd40ae,2022-01-31,0xf5fd85dcf199763ddf45f203533336915625be2a,7820,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/7820,0x2a0ece88ece2e74234c05acc69372dc9bee9502be58917a7a0eb21755006f9ff,1.0,1.0,BOREDAPEKENNEL19,boredapekennel
18851,14124579,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,9.0,0xf5fd85dcf199763ddf45f203533336915625be2a,2022-02-02,0x54b174179ae825ed630da40b625bb3c883cd40ae,7820,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/7820,0xe4b3974cf14fa999ee187da4c3cc0b5b77106150ab8d31e3f35f9a1189b1b567,4.0,4.0,BOREDAPEKENNEL19,boredapekennel
6939,12724965,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,1.8,0xc7daff430efad15679f8bb53530debee0308eb1b,2021-06-28,0x11360f0c5552443b33720a44408aba01a809905e,2716,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/2716,0x53a622965a01be56733438515b9c4e310cca026beaf301d2c5382feb84b0b6c7,3.0,3.0,BOREDAPEKENNEL26,boredapekennel
7698,12705985,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,3.0,0x11360f0c5552443b33720a44408aba01a809905e,2021-06-25,0xc7daff430efad15679f8bb53530debee0308eb1b,6030,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/6030,0x5c9c6bd11815827432ab6114c196061e051f5a98bc85c30339276cd1366e8f1d,1.0,1.0,BOREDAPEKENNEL26,boredapekennel
15349,13118463,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,3.9,0x81b3893a8f3557712705e83d2ab877710044d74d,2021-08-29,0x6507db73d6ade38af8467eb5ab445f224cedaf38,1724,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/1724,0xb8d79dccde460a3a443b93352bf9626e56b743d090c47e1d2a83fb79eff50876,11.0,11.0,BOREDAPEKENNEL3,boredapekennel
11777,13114528,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,4.9,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,2021-08-28,0x81b3893a8f3557712705e83d2ab877710044d74d,1724,ipfs://QmTDcCdt3yb6mZitzWBmQr65AW6Wska295Dg9nbEYpSUDR/1724,0x8d55dc584354c36097003620a31d0e4a1860f330275ba0caaf0563e3d1f2a19d,8.0,8.0,BOREDAPEKENNEL3,boredapekennel
