,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
7866,12776238,0x1A92f7381B9F03921564a437210bB9396471050C,0.1,0xaf611d53b8d52fa4a059f84c61cca0921d276dd8,2021-07-06,0xfe5573c66273313034f7ff6050c54b5402553716,8215,https://api.coolcatsnft.com/cat/8215,0x480cc6d08d2730dfae17b9844cc9f85fafcec2d8c84b3e469ae98a1734a5a877,3.0,3.0,COOLCAT1,coolcat
20857,12782029,0x1A92f7381B9F03921564a437210bB9396471050C,0.75,0xfe5573c66273313034f7ff6050c54b5402553716,2021-07-07,0x2ccc5e98e7ce96321752beb10eb3f8b8af5efcf7,6351,https://api.coolcatsnft.com/cat/6351,0xbfcd954ea1cffa0788b4f3058c3cf256503fa0e316e5e0954af780163ac0dfc6,2.0,2.0,COOLCAT1,coolcat
15594,12771827,0x1A92f7381B9F03921564a437210bB9396471050C,0.3,0x2ccc5e98e7ce96321752beb10eb3f8b8af5efcf7,2021-07-06,0xaf611d53b8d52fa4a059f84c61cca0921d276dd8,2,https://api.coolcatsnft.com/cat/2,0x8f4833646bd4cae819290c1e54d1acf5a67a5b6a926a7090bded6b51590740ea,15.0,15.0,COOLCAT1,coolcat
10322,12795109,0x1A92f7381B9F03921564a437210bB9396471050C,1.5,0x15f7320adb990020956d29edb6ba17f3d468001e,2021-07-09,0xf05155f792819710da259c103d30e4b70178ea9f,2119,https://api.coolcatsnft.com/cat/2119,0x5ea360fd81e05b923f0ca7609221949d9d714f029a8a1df3000756cfe2a06124,1.0,1.0,COOLCAT10,coolcat
15511,12745290,0x1A92f7381B9F03921564a437210bB9396471050C,0.09,0xc3f201186fd0e2a63b494b631a4f43e72b8957e6,2021-07-02,0x15f7320adb990020956d29edb6ba17f3d468001e,42,https://api.coolcatsnft.com/cat/42,0x8eb5661bcd28aa76573e5128bdf1c978bf80cb59955e128e7e176592f9fd6f65,1.0,1.0,COOLCAT10,coolcat
10751,12750625,0x1A92f7381B9F03921564a437210bB9396471050C,0.06,0xf05155f792819710da259c103d30e4b70178ea9f,2021-07-02,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,9404,https://api.coolcatsnft.com/cat/9404,0x6304b261b8ee30fc82f30ef30cfb5f6fd3c7daca6e301925ec37c8dcef525763,4.0,4.0,COOLCAT103,coolcat
23097,12759116,0x1A92f7381B9F03921564a437210bB9396471050C,0.1,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,2021-07-04,0x88a72b209091f4a4ffa3514e520adbe124ca269a,2832,https://api.coolcatsnft.com/cat/2832,0xd4f592467d014780d3c5a67d534773a3e37544bbf2b03d6d18a107a9fa942993,2.0,2.0,COOLCAT103,coolcat
14543,12761786,0x1A92f7381B9F03921564a437210bB9396471050C,0.195,0x88a72b209091f4a4ffa3514e520adbe124ca269a,2021-07-04,0xf05155f792819710da259c103d30e4b70178ea9f,7987,https://api.coolcatsnft.com/cat/7987,0x85970e4240dc8c2114cd6c89a4f491d921be06aa60f288d5583eda3a8233a02d,2.0,2.0,COOLCAT103,coolcat
7688,12761410,0x1A92f7381B9F03921564a437210bB9396471050C,0.2,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,2021-07-04,0x6d5a7d96d86e6d93ecdf180624fd89f93f988ddd,9404,https://api.coolcatsnft.com/cat/9404,0x467b5a43a78ed1c074849b97e83e7fadbffc4817d1c602229457e4c424524b8c,2.0,2.0,COOLCAT104,coolcat
278,12759117,0x1A92f7381B9F03921564a437210bB9396471050C,0.029,0x6d5a7d96d86e6d93ecdf180624fd89f93f988ddd,2021-07-04,0xf05155f792819710da259c103d30e4b70178ea9f,1202,https://api.coolcatsnft.com/cat/1202,0x025d1a949c6aa09fc02bc5995ab58f39b2dac9dba70b49173fc662555b5b9744,1.0,1.0,COOLCAT104,coolcat
10751,12750625,0x1A92f7381B9F03921564a437210bB9396471050C,0.06,0xf05155f792819710da259c103d30e4b70178ea9f,2021-07-02,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,9404,https://api.coolcatsnft.com/cat/9404,0x6304b261b8ee30fc82f30ef30cfb5f6fd3c7daca6e301925ec37c8dcef525763,4.0,4.0,COOLCAT104,coolcat
10751,12750625,0x1A92f7381B9F03921564a437210bB9396471050C,0.06,0xf05155f792819710da259c103d30e4b70178ea9f,2021-07-02,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,9404,https://api.coolcatsnft.com/cat/9404,0x6304b261b8ee30fc82f30ef30cfb5f6fd3c7daca6e301925ec37c8dcef525763,4.0,4.0,COOLCAT106,coolcat
17921,12759099,0x1A92f7381B9F03921564a437210bB9396471050C,0.027,0xbd0247706f8486aaa6b372d81ab4b85f6f4c57ef,2021-07-04,0xf05155f792819710da259c103d30e4b70178ea9f,519,https://api.coolcatsnft.com/cat/519,0xa4810239555ea2346dae18d2c360c974462604e394282268cf8d2179b0bdf557,2.0,2.0,COOLCAT106,coolcat
14819,12752469,0x1A92f7381B9F03921564a437210bB9396471050C,0.15,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,2021-07-03,0xbd0247706f8486aaa6b372d81ab4b85f6f4c57ef,2634,https://api.coolcatsnft.com/cat/2634,0x88249cbd07590c521c3774afe2d30b6de762496bf542d855ddfe2d691d708925,1.0,1.0,COOLCAT107,coolcat
10751,12750625,0x1A92f7381B9F03921564a437210bB9396471050C,0.06,0xf05155f792819710da259c103d30e4b70178ea9f,2021-07-02,0xf7e20ed715a0d83f89130796c44c3d36c724a0c4,9404,https://api.coolcatsnft.com/cat/9404,0x6304b261b8ee30fc82f30ef30cfb5f6fd3c7daca6e301925ec37c8dcef525763,4.0,4.0,COOLCAT107,coolcat
244,12759116,0x1A92f7381B9F03921564a437210bB9396471050C,0.029,0xbd0247706f8486aaa6b372d81ab4b85f6f4c57ef,2021-07-04,0xf05155f792819710da259c103d30e4b70178ea9f,1547,https://api.coolcatsnft.com/cat/1547,0x020715f0bb2a6cfe972d3e47873eca940a8fb142a35abccc18c4417394b2cb82,1.0,1.0,COOLCAT107,coolcat
25344,13233041,0x1A92f7381B9F03921564a437210bB9396471050C,5.45,0x342c6bfa287ce37b8b53eee0e5b6e6bcbea98c76,2021-09-15,0xb697b9455eeee9574ec5c5350cb10c8a5b752a39,1853,https://api.coolcatsnft.com/cat/1853,0xe9561b63cb026cc1bc9e1c2caaeb431f377ddc0d6c4e94edc4caa1d1aed25c31,6.0,6.0,COOLCAT108,coolcat
