,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
8922,13290915,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,1.8,0x6237c88fe026b1b27f494f49ba399448aaaa93c0,2021-09-24,0xe3666e86b0185437bfd288394c3d7bb64353b950,5157,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/5157,0x6fb86002db3d0997295428aad0b49caaefa4f3e1b7188d3354cfe2958796ade5,3.0,3.0,CRYPTOAD10,cryptoad
14733,13290896,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,1.9,0xe3666e86b0185437bfd288394c3d7bb64353b950,2021-09-24,0x6237c88fe026b1b27f494f49ba399448aaaa93c0,742,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/742,0xb82f13de5113f0ab68a8d557a96988a55f9160eab34518a201730cc04daa1081,6.0,6.0,CRYPTOAD10,cryptoad
7825,13323031,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,4.44,0xf6b5f6b9f1624c6426d0a0bb1ebe7d8dbff1f9a3,2021-09-29,0xf03372d290442637dea47f2252d6aaa13c7758ed,1194,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/1194,0x622011468d607221990a7f733797e9a0a89188915c8d665d03f51b1de5eb7d55,4.0,4.0,CRYPTOAD104,cryptoad
18342,13347594,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,7.3999,0xf03372d290442637dea47f2252d6aaa13c7758ed,2021-10-03,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,4700,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/4700,0xe585ef03a715e98840da2226983272f13e347d39cee718b91888eed00dfbf1a9,13.0,13.0,CRYPTOAD104,cryptoad
11587,13291841,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,8.0,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,2021-09-25,0xf6b5f6b9f1624c6426d0a0bb1ebe7d8dbff1f9a3,1637,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/1637,0x91101671b611b77dc3857b91cd2c39355047806327dd17661406659b30cf7eb8,2.0,2.0,CRYPTOAD105,cryptoad
17451,13324402,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,5.45,0x30ec73885a82b13338aedcc34c4a92626413c238,2021-09-30,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,6561,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/6561,0xdaba566cd7692e81c9d789dedadfb569bbbba64013d33a184426c6529945943a,4.0,4.0,CRYPTOAD105,cryptoad
4536,13324326,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,5.3,0xf6b5f6b9f1624c6426d0a0bb1ebe7d8dbff1f9a3,2021-09-30,0x30ec73885a82b13338aedcc34c4a92626413c238,6561,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/6561,0x39399516dc4d83e9973b9517b2d3d77a99dfc9ee9d6313f131430fbe02f4cfb0,1.0,1.0,CRYPTOAD105,cryptoad
743,13445320,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,4.95,0xe18a94a1e60903b1ec39d9104bed27d9a73ad9e2,2021-10-19,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,514,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/514,0x09fcd09ff31c35a2272802fda9c8710816d7debbc0a9daad7e02b6068a6ece24,1.0,1.0,CRYPTOAD11,cryptoad
20037,13441421,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,5.99,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-10-18,0xe18a94a1e60903b1ec39d9104bed27d9a73ad9e2,514,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/514,0xfac277076e99814d47503f3823d970611229992033008d25a1ea427c8528fe23,7.0,7.0,CRYPTOAD11,cryptoad
20328,13226328,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,3.5,0x1434a8eaa6d3725d44984d674e4f2dd9cc472bf4,2021-09-14,0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,2040,ipfs://QmWEFSMku6yGLQ9TQr66HjSd9kay8ZDYKbBEfjNi4pLtrr/2040,0xfe91482ff76a2e0b9f04c3e0c40f7361ab1c913465b71d079a416e5000771715,3.0,3.0,CRYPTOAD113,cryptoad
