,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
19378,13024023,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,2.75,0x00a8bec03805bcfaafab1050dbcf90f57982d750,2021-08-14,0x245719eddf2d68ebf8aa54db2550891128962b42,3834,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/3834,0x96983d56c3655a4b87c4e6d4af08a70083d6f5b7d2ebd61805bc41837e9a0ae7,5.0,5.0,PENGUIN1,penguin
28702,13025412,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,2.76,0x245719eddf2d68ebf8aa54db2550891128962b42,2021-08-14,0x7ec8343e808b15bf3e93bb1ba88b3a36d126e98f,3834,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/3834,0xe02dad0f5a14f17c7f0ba532831a7a7fe22828b4ca1f2da73cf5acf57aef23fc,8.0,8.0,PENGUIN1,penguin
32586,12964858,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.199,0x37b689a445e096c3f52b334511bf412a610359b9,2021-08-05,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,7506,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7506,0xfe3edd07da6f2ec596485f565d834ff0d1049940c936fa863eaa7f393020a056,5.0,5.0,PENGUIN10,penguin
26813,12964805,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.189,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,2021-08-05,0x37b689a445e096c3f52b334511bf412a610359b9,8220,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/8220,0xd121ec5ec139cba810a37442eb36b73ce0d417f2b49a4609358a4562f6544624,5.0,5.0,PENGUIN10,penguin
16490,12969788,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.22,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,2021-08-06,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,6847,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/6847,0x80c1a912316cf6a66e16d8a059f9e508589167f3fe5545424afa04fad01408e6,1.0,1.0,PENGUIN11,penguin
25270,12972217,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.2499,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,2021-08-06,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,7611,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7611,0xc4ed7b59a8d00d95e7fb15aaacae6039aeaabc34dbc6ece0e77c4b24eecd2768,3.0,3.0,PENGUIN11,penguin
25108,12964964,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.17,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,2021-08-05,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,5152,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/5152,0xc39fdb83dcb2f28e1c5786b96c65a35aba4898931e4a755a757c7b203a2182c9,4.0,4.0,PENGUIN12,penguin
5223,12969794,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.22,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,2021-08-06,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,4574,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/4574,0x291a29bd0d12950cb99d668c02c72d00b152dda67b39e04208ae2594fcb41355,1.0,1.0,PENGUIN12,penguin
25270,12972217,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.2499,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,2021-08-06,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,7611,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7611,0xc4ed7b59a8d00d95e7fb15aaacae6039aeaabc34dbc6ece0e77c4b24eecd2768,3.0,3.0,PENGUIN12,penguin
25270,12972217,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.2499,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,2021-08-06,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,7611,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7611,0xc4ed7b59a8d00d95e7fb15aaacae6039aeaabc34dbc6ece0e77c4b24eecd2768,3.0,3.0,PENGUIN13,penguin
16490,12969788,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.22,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,2021-08-06,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,6847,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/6847,0x80c1a912316cf6a66e16d8a059f9e508589167f3fe5545424afa04fad01408e6,1.0,1.0,PENGUIN13,penguin
25270,12972217,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.2499,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,2021-08-06,0x553300de60dfc36f85393d8b7631de6fe2b3eb9e,7611,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/7611,0xc4ed7b59a8d00d95e7fb15aaacae6039aeaabc34dbc6ece0e77c4b24eecd2768,3.0,3.0,PENGUIN14,penguin
5223,12969794,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0.22,0xdce64a75c5a15826d059fc3d0812dbd3baef5893,2021-08-06,0xbd9e322303fa0ee764d8efb497ca4b81589a281a,4574,https://ipfs.io/ipfs/QmWXJXRdExse2YHRY21Wvh4pjRxNRQcWVhcKw4DLVnqGqs/4574,0x291a29bd0d12950cb99d668c02c72d00b152dda67b39e04208ae2594fcb41355,1.0,1.0,PENGUIN14,penguin
