,blocknumber,contracthash,ethprice,fromaddress,timestamp,toaddress,tokenid,tokenuri,transactionhash,running_sell_count,running_whale_weight,loop_id,collection name
3563,13104602,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,76.47,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,2021-08-27,0x0f4023208058ecfFCb22A7409Df11F6D6013FE8A,8970,punks_do_not_have_token_URIs,0x3851dbbae2669eb6f1930e138203de3767bf7d6a02b458a9609cb4840314ee3d,4.0,4.0,PUNK1,punk
16270,13107332,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,82.0,0x0f4023208058ecfFCb22A7409Df11F6D6013FE8A,2021-08-27,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,8970,punks_do_not_have_token_URIs,0xfff5f5d26381b648584d0ade5760336292a6f8d182278090d67b50b4e549ec08,14.0,14.0,PUNK1,punk
14595,9219057,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,0.52,0x442DCCEe68425828C106A3662014B4F131e3BD9b,2020-01-05,0x8E662143178bb8c797620A3a61F34A71832475B0,1362,punks_do_not_have_token_URIs,0xe569418b3488c3a03ff15dab9430f645442b5c8d9c62953726a20b0d5be88e3b,13.0,13.0,PUNK10,punk
1285,9216898,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,0.95,0x8E662143178bb8c797620A3a61F34A71832475B0,2020-01-04,0x442DCCEe68425828C106A3662014B4F131e3BD9b,1640,punks_do_not_have_token_URIs,0x15158c6de4610f1ee9178ebba95c18dd826ce7113bec1b27d5b046cf0a890f75,1.0,1.0,PUNK10,punk
6070,11876965,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,17.0,0x0eb9a7ff5cBf719251989CAf1599c1270Eafb531,2021-02-17,0xB9c71dFfd0315a61b5DF3Ef77f2cAa5149Fba4E1,1798,punks_do_not_have_token_URIs,0x6027be04f82bba312a8038f59296a0fdb9e767d83a21d229db81a0d387e9a895,1.0,1.0,PUNK1021,punk
6727,11876924,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,13.0,0xB9c71dFfd0315a61b5DF3Ef77f2cAa5149Fba4E1,2021-02-17,0x0eb9a7ff5cBf719251989CAf1599c1270Eafb531,8687,punks_do_not_have_token_URIs,0x69f53f8d7c1ce901b6956541e6c251fa01464ba652fa872e6376fb0ed1ed1ac3,2.0,2.0,PUNK1021,punk
4454,11897636,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,16.49,0xD387A6E4e84a6C86bd90C158C6028A58CC8Ac459,2021-02-21,0x0d41F957181E584dB82d2E316837B2DE1738C477,839,punks_do_not_have_token_URIs,0x46e8b918c6acc9cb36b28ced0aa07b59f947954d6a6c334b99a645462ed57d0b,2.0,2.0,PUNK1023,punk
1827,11853448,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.0,0x0d41F957181E584dB82d2E316837B2DE1738C477,2021-02-14,0xCA15850e3a81869714A02e3787C1E8d27A4c4B13,9708,punks_do_not_have_token_URIs,0x1d74cc40235ce4f63536897f87b1fb180879f5727b15c876dfcc460bb9487151,2.0,2.0,PUNK1023,punk
14358,11876747,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,11.5,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-17,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,1804,punks_do_not_have_token_URIs,0xe12e31867c1a5291cbf450686eafdb13ee38ac850897361896ee7c4183b725ef,3.0,3.0,PUNK1039,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1039,punk
13375,11870390,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.6,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-16,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2037,punks_do_not_have_token_URIs,0xd1d55f4a66e036cb221e6eb294dc6b62546ae0c5d33c470c79c4007e149a4634,3.0,3.0,PUNK1040,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1040,punk
3971,11852829,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,8.5,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-14,0xc35A5FEc6BE6957899E15559Be252Db882220b37,8242,punks_do_not_have_token_URIs,0x3f74e8b7a067fe0a4712db270c4d08b6263f2f8da91f6897b9fcec8a9c5cac83,3.0,3.0,PUNK1053,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1053,punk
1924,11903457,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,20.4,0xc35A5FEc6BE6957899E15559Be252Db882220b37,2021-02-21,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,punks_do_not_have_token_URIs,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db,1.0,1.0,PUNK1053,punk
8520,12201943,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,29.99,0xDDFdcB21c935e8432A559cF689c83695b27A4177,2021-04-08,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,7045,punks_do_not_have_token_URIs,0x86f5cbd83d73355a9870013a9f0857994b583e33bebc008a986c7b6989409a77,1.0,1.0,PUNK106,punk
9038,12204014,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,22.99,0x0E9AED5c7721c642A032812C2c4816f7d6cB87d7,2021-04-09,0xDDFdcB21c935e8432A559cF689c83695b27A4177,1791,punks_do_not_have_token_URIs,0x8ee9268b23a3c990469866942f179715580728b1aaabf2dbd614a2f0a809c92f,5.0,5.0,PUNK106,punk
5571,11852956,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.0,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-14,0xc35A5FEc6BE6957899E15559Be252Db882220b37,2773,punks_do_not_have_token_URIs,0x58c10720f89b3defd4ca825bc3c30f01bbe2343512063dbdb498f16b9871bb56,3.0,3.0,PUNK1064,punk
1924,11903457,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,20.4,0xc35A5FEc6BE6957899E15559Be252Db882220b37,2021-02-21,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,punks_do_not_have_token_URIs,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db,1.0,1.0,PUNK1064,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1064,punk
5035,11852811,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,11.0,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-14,0xc35A5FEc6BE6957899E15559Be252Db882220b37,1951,punks_do_not_have_token_URIs,0x505ccd0caac4916a54229a0e0eed1152c552dcdd45fd1a897a30ecf938ca9ca8,2.0,2.0,PUNK1074,punk
1924,11903457,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,20.4,0xc35A5FEc6BE6957899E15559Be252Db882220b37,2021-02-21,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,punks_do_not_have_token_URIs,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db,1.0,1.0,PUNK1074,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1074,punk
1924,11903457,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,20.4,0xc35A5FEc6BE6957899E15559Be252Db882220b37,2021-02-21,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,punks_do_not_have_token_URIs,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db,1.0,1.0,PUNK1090,punk
10298,11852805,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.5,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-14,0xc35A5FEc6BE6957899E15559Be252Db882220b37,8575,punks_do_not_have_token_URIs,0xa21cd860501f64d2bc7cba2fd2ad0da394ec5426bd8886ab656fd617b70889f7,2.0,2.0,PUNK1090,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1090,punk
14355,11902341,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,24.0,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-21,0x8F6b1e467FbE74d7dd43d59dE0558f693c736798,3362,punks_do_not_have_token_URIs,0xe116408cd6d7a05a35f6cc68b8dd5da85cc81bc725c9c8a155df4b79410ec791,2.0,2.0,PUNK1092,punk
3668,11898918,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,13.68,0x8F6b1e467FbE74d7dd43d59dE0558f693c736798,2021-02-21,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,8475,punks_do_not_have_token_URIs,0x3a30664825b945b56ab039aa83705b1d1bcfbe17699306142407f63d7049a8a6,3.0,3.0,PUNK1092,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1092,punk
10761,10114622,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,0.8,0xCc81b4631c4b321421267c1D4B43e7b2d7c52A23,2020-05-22,0xD387A6E4e84a6C86bd90C158C6028A58CC8Ac459,6654,punks_do_not_have_token_URIs,0xa925273552da4f39740fa481d4380d5475056760a5db38c812a68f44e9319935,6.0,6.0,PUNK11,punk
13480,10126389,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,1.49,0xD387A6E4e84a6C86bd90C158C6028A58CC8Ac459,2020-05-24,0x442DCCEe68425828C106A3662014B4F131e3BD9b,9245,punks_do_not_have_token_URIs,0xd36fbad52b3d1e40f68717bc6b4b5d6fd4d1860f21c9729a356ba4edb56a2a58,3.0,3.0,PUNK11,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1109,punk
15418,11867341,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,11.0,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-16,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,6880,punks_do_not_have_token_URIs,0xf28d20bc81b412216371b273e189dece85c9f398f45fe4ce311f49a2963c1769,2.0,2.0,PUNK1109,punk
1924,11903457,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,20.4,0xc35A5FEc6BE6957899E15559Be252Db882220b37,2021-02-21,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,punks_do_not_have_token_URIs,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db,1.0,1.0,PUNK1130,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1130,punk
4280,11852811,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.0,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-14,0xc35A5FEc6BE6957899E15559Be252Db882220b37,6808,punks_do_not_have_token_URIs,0x442c8f8a643e2aad9d75961b3799e448aad078cf9c9cfeccce7e5613cc5b2a01,1.0,1.0,PUNK1130,punk
14620,11914977,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,34.0,0x84c920595cDe2841A719FE5AA8bE5166d8E7C6da,2021-02-23,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,8479,punks_do_not_have_token_URIs,0xe5c2109b7cb9a6c71d648cc73a13efa72a5e90c4c6a578b6267f8fa78826461f,4.0,4.0,PUNK1131,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1131,punk
6631,11922413,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,32.0,0x84c920595cDe2841A719FE5AA8bE5166d8E7C6da,2021-02-24,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,3008,punks_do_not_have_token_URIs,0x687c4f1aa3ee15452a272777329c3f6bfebe22ad58e93234a63de070eb41afd7,2.0,2.0,PUNK1134,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1134,punk
1924,11903457,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,20.4,0xc35A5FEc6BE6957899E15559Be252Db882220b37,2021-02-21,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2342,punks_do_not_have_token_URIs,0x1ebf0e3d03dbdff1a11f1e09f84665857a2e9dd7c7c49f365244a3d8d5b5c9db,1.0,1.0,PUNK1137,punk
2489,11876670,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.99,0xEe8eEeC3E7a5ad82827480A9E00D01B1EC0a9F3B,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,1469,punks_do_not_have_token_URIs,0x2763ea95ec59bdc14efe04e55a483c77c40a6f62081cc6f728dbf21349620a2e,2.0,2.0,PUNK1137,punk
4842,11852813,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,29.0,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-14,0xc35A5FEc6BE6957899E15559Be252Db882220b37,3763,punks_do_not_have_token_URIs,0x4d11c2593fe5e4915af3ab1c73e593e85f1e871032f2d4b8bc647e30839947eb,1.0,1.0,PUNK1137,punk
9267,11876657,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,9.72,0x13816F65bA8195768E6825EB774FD3C6A05a0ac8,2021-02-17,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2970,punks_do_not_have_token_URIs,0x926bc150580b1657558f0feb97b616f278e6f921441f45fc981124e47a95ad1f,2.0,2.0,PUNK1144,punk
9562,11902736,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,19.74,0xDDFdcB21c935e8432A559cF689c83695b27A4177,2021-02-21,0x13816F65bA8195768E6825EB774FD3C6A05a0ac8,9301,punks_do_not_have_token_URIs,0x96e139716e1bd2853cdd1930a7d14760c8fdfc0c71b0431cd6ccbe161234e4aa,5.0,5.0,PUNK1144,punk
945,11876945,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,11.0,0x577eBC5De943e35cdf9ECb5BbE1f7D7CB6c7C647,2021-02-17,0xDDFdcB21c935e8432A559cF689c83695b27A4177,1902,punks_do_not_have_token_URIs,0x0fc230ee9604fc45f3c27968964036a6bb184a3205d34faaaf0ddaa1687f56e4,1.0,1.0,PUNK1144,punk
5182,13081107,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,54.1,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,2021-08-23,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,3185,punks_do_not_have_token_URIs,0x5280562a9efe4b13e08af1e63e63d8b1fbf049feeb1d47041c286fbd2ef27d75,2.0,2.0,PUNK115,punk
12111,13081466,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,64.95,0x18eE9CeBCA35D323068e5EDc5B41ffCA11d605B9,2021-08-23,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,6783,punks_do_not_have_token_URIs,0xbda17cd5268124767a824e77ec7c3e86be5600c806f0e869dab1d880db2b3657,3.0,3.0,PUNK115,punk
14240,11897277,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,13.0,0x0c1FEefCa0366357b91D58833A1423F12A1e7f2e,2021-02-21,0xb6bE4De7F37baE20085d830A28982bE8aD19052b,2937,punks_do_not_have_token_URIs,0xdf344d9557875ecda10838a6dbe31881e95d7a9e630abd82ab9add82b7013f02,10.0,10.0,PUNK1168,punk
9932,11895890,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,13.7,0xb6bE4De7F37baE20085d830A28982bE8aD19052b,2021-02-20,0x0c1FEefCa0366357b91D58833A1423F12A1e7f2e,2937,punks_do_not_have_token_URIs,0x9c9d261876190526a4823fbd887b76be6502da0645928ad714583f146707bd7e,6.0,6.0,PUNK1168,punk
8761,12859064,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,31.69,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,2021-07-19,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,6632,punks_do_not_have_token_URIs,0x8aacdb1356286ffdb35bf5b64d6faa1ccb6b1095ca3bda41f44d449a4290d601,2.0,2.0,PUNK1175,punk
6347,12891349,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,32.0,0xBeC69dfcE4c1fA8b7843FEE1Ca85788d84A86B06,2021-07-24,0x1919DB36cA2fa2e15F9000fd9CdC2EdCF863E685,2488,punks_do_not_have_token_URIs,0x64a2a0cca8d0a7e4201037a0ebbfc5d722485be80a78f2b5c337ef393cf75b19,2.0,2.0,PUNK1175,punk
14736,12647869,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,20.0,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,2021-06-16,0xBeC69dfcE4c1fA8b7843FEE1Ca85788d84A86B06,8924,punks_do_not_have_token_URIs,0xe78e53f8a181245d4638e10970551a1195b538b6a1b951bfea855ef53c90eef2,10.0,10.0,PUNK1176,punk
4920,12647829,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,47.5,0xBeC69dfcE4c1fA8b7843FEE1Ca85788d84A86B06,2021-06-16,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,6869,punks_do_not_have_token_URIs,0x4e3c9b4556395ec55b93aa3abb6da6a2d645caae679cedd71bd1214b2bf52f85,1.0,1.0,PUNK1176,punk
12111,13081466,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,64.95,0x18eE9CeBCA35D323068e5EDc5B41ffCA11d605B9,2021-08-23,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,6783,punks_do_not_have_token_URIs,0xbda17cd5268124767a824e77ec7c3e86be5600c806f0e869dab1d880db2b3657,3.0,3.0,PUNK118,punk
5182,13081107,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,54.1,0x78B58E4197C04d320a33c582Ecc3e7e885f26A58,2021-08-23,0x62bdc64A14405E797f86796Ea3C2476209ee0bf9,3185,punks_do_not_have_token_URIs,0x5280562a9efe4b13e08af1e63e63d8b1fbf049feeb1d47041c286fbd2ef27d75,2.0,2.0,PUNK118,punk
1487,13081147,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,64.14,0xFe2F279D3679BAc2D07cF46c93503410eF9CA448,2021-08-23,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,8292,punks_do_not_have_token_URIs,0x184c6811ccf9d766761f1b80775ceb66a9b3bb4b35fbc3809e1522c59c012a0c,1.0,1.0,PUNK1181,punk
13687,13088076,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,84.0,0xC40dF87e16339f21fBB2E59FB38bF2A957A16FfD,2021-08-24,0xFe2F279D3679BAc2D07cF46c93503410eF9CA448,8292,punks_do_not_have_token_URIs,0xd635012e03b332cc53b1cdcd2d7afb651af996b60a721735a402fef02a332285,3.0,3.0,PUNK1181,punk
6301,12967702,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,41.85,0x4680cb63563472cac10236C07d288580D8d7B52A,2021-08-05,0x0E9AED5c7721c642A032812C2c4816f7d6cB87d7,9770,punks_do_not_have_token_URIs,0x63d2baaaa37bd967ca85815abf883f437ed3c6c5a0a51be7ec27af80a6d1e875,4.0,4.0,PUNK1184,punk
15281,12929254,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,44.99,0x0E9AED5c7721c642A032812C2c4816f7d6cB87d7,2021-07-30,0xA47b31690eCA4baDB02CA78B2f90A04AB1F7E9F6,8045,punks_do_not_have_token_URIs,0xf069b42a72c7e975557d155c411db58b21cf5ce22e60fe19f7767a43fd488a8f,1.0,1.0,PUNK1184,punk
3160,11903744,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,39.95,0x48c85cC4D0BeB4cC84F07A8262e2042553a6A4a6,2021-02-22,0xeb725FCEcce376a174675C87287BAC30d46FDBe8,3589,punks_do_not_have_token_URIs,0x31f4b1d9687eb8f48c616310e426fdbe1439855a516fd9ca438233c1e6f966d9,2.0,2.0,PUNK1193,punk
7835,11902658,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,19.45,0x0a4d540bB6a930f0FBb53F54f797B95f0eC16065,2021-02-21,0x48c85cC4D0BeB4cC84F07A8262e2042553a6A4a6,5875,punks_do_not_have_token_URIs,0x7b95d0d7a660bcf5532ea1c71506f2ce037736f7fd6fd6085def0a0e37e6d8bd,2.0,2.0,PUNK1193,punk
13266,11898181,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,14.79,0xeb725FCEcce376a174675C87287BAC30d46FDBe8,2021-02-21,0x0a4d540bB6a930f0FBb53F54f797B95f0eC16065,5875,punks_do_not_have_token_URIs,0xcff2d17700cadadd19c504dcc149a3ab37aa34a5bb556363a2f25ef274c83fa1,5.0,5.0,PUNK1193,punk
12406,10862197,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,1.32,0xCc81b4631c4b321421267c1D4B43e7b2d7c52A23,2020-09-14,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a,2944,punks_do_not_have_token_URIs,0xc25b5e91c83566b2afc02dd92a482d6170216e5afd895a1f8aeec6e718afe21c,4.0,4.0,PUNK12,punk
1070,10874529,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,1.95,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a,2020-09-16,0x442DCCEe68425828C106A3662014B4F131e3BD9b,6411,punks_do_not_have_token_URIs,0x116a8992f8d657430495ef9c21fe944ec5c1a6dc7476678e440fef1ed207a2dd,3.0,3.0,PUNK12,punk
3696,12930255,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,29.49,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,2021-07-31,0xb4Bb4156e5e6Ca5D81041f616c27dfFB253B7845,9891,punks_do_not_have_token_URIs,0x3aad961bd6bd8e3ae082a005e38dc6ba1fda11e721b6c4e485d251f4f9edd3b6,2.0,2.0,PUNK1206,punk
10598,12969063,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,49.49,0x50664edE715e131F584D3E7EaAbd7818Bb20A068,2021-08-06,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,6936,punks_do_not_have_token_URIs,0xa6be4e41d2ed0885f1c05d17aaa8a681d6a3dbf79d17b2e2dee5b0de65fc0305,6.0,6.0,PUNK1206,punk
12241,12937213,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,99.99,0xb4Bb4156e5e6Ca5D81041f616c27dfFB253B7845,2021-08-01,0x50664edE715e131F584D3E7EaAbd7818Bb20A068,6674,punks_do_not_have_token_URIs,0xbfa5fc936c5056942737c9070d4729f530ec43128c7fe601690f1776432acb0d,1.0,1.0,PUNK1206,punk
580,13112249,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,119.98,0x023EF73d4C6dE80Dd3E52b8Aae579B8f0E5CBeb4,2021-08-28,0xA99A76dDdBB9678bc33F39919Bc76d279C680C89,3854,punks_do_not_have_token_URIs,0x097c133be7b704caf8cb6465c7cb607e469da32a4efd2642232d90bfb184a9e9,1.0,1.0,PUNK1211,punk
